impacto_presupuestario_mes,finalidad_id,finalidad_desc,funcion_id,funcion_desc,credito_comprometido,credito_devengado,credito_pagado,anio,periodo,mes_completo,ipc,credito_comprometido_real_agosto2026,credito_devengado_real_agosto2026,credito_pagado_real_agosto2026
4,3,SERVICIOS SOCIALES,8,Agua Potable y Alcantarillado,4377.32483293,4256.42671153,3828.3490237,2025,2025-04,True,8585.6078,6259.24150412,6086.3663879,5474.24786051
4,4,SERVICIOS ECONOMICOS,1,"Energía, Combustibles y Minería",38446.23633611,252001.94126152,294851.40208717,2025,2025-04,True,8585.6078,54975.1931458,360343.60484221,421615.07403076
4,4,SERVICIOS ECONOMICOS,2,Comunicaciones,3594.38227237,4422.66690407,11059.32382577,2025,2025-04,True,8585.6078,5139.69320523,6324.07721643,15813.99172778
4,4,SERVICIOS ECONOMICOS,3,Transporte,257134.89734693,261823.926115,256140.94441992,2025,2025-04,True,8585.6078,367683.34155239,374388.29597075,366262.06448219
4,4,SERVICIOS ECONOMICOS,4,Ecología y Desarrollo Sostenible,34375.99028668,11237.38321806,16919.33501323,2025,2025-04,True,8585.6078,49155.05094093,16068.60311281,24193.36192285
4,4,SERVICIOS ECONOMICOS,5,"Agricultura, Ganadería y Pesca",14721.66957007,24099.1809815,29508.73496562,2025,2025-04,True,8585.6078,21050.86752752,34459.99544744,42195.24611047
4,4,SERVICIOS ECONOMICOS,6,Industria,9620.60276528,9644.92856935,7189.52342524,2025,2025-04,True,8585.6078,13756.73006264,13791.51411186,10280.47155184
4,4,SERVICIOS ECONOMICOS,7,"Comercio, Turismo y Otros Servicios",5418.37249091,3516.7095386,3718.51326994,2025,2025-04,True,8585.6078,7747.86045686,5028.62710493,5317.19108843
4,4,SERVICIOS ECONOMICOS,8,Seguros y Finanzas,318.79016923,1598.20843097,22924.83886554,2025,2025-04,True,8585.6078,455.84568989,2285.31647186,32780.77556023
4,5,DEUDA PUBLICA,1,Servicio de la Deuda Pública,295004.37428813,295004.37428813,284582.83582846,2025,2025-04,True,8585.6078,421833.81264071,421833.81264071,406931.80546663
5,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,31912.75629867,31559.90711543,33359.37164161,2025,2025-05,True,8714.4871,44957.94611869,44460.86042607,46995.90404478
5,1,ADMINISTRACION GUBERNAMENTAL,2,Judicial,205593.90053498,217190.14695801,218386.87910917,2025,2025-05,True,8714.4871,289635.88779599,305972.40905998,307658.33737864
5,1,ADMINISTRACION GUBERNAMENTAL,3,Dirección Superior Ejecutiva,21824.46281851,24207.27310467,22244.22707074,2025,2025-05,True,8714.4871,30745.79375974,34102.64126779,31337.14783953
5,1,ADMINISTRACION GUBERNAMENTAL,4,Relaciones Exteriores,20621.85298012,31944.78063788,37677.25335602,2025,2025-05,True,8714.4871,29051.58509252,45003.06126021,53078.83500964
5,1,ADMINISTRACION GUBERNAMENTAL,5,Relaciones Interiores,257060.60137869,261637.13180822,263771.63763877,2025,2025-05,True,8714.4871,362140.97453256,368588.28376953,371595.3257568
5,1,ADMINISTRACION GUBERNAMENTAL,6,Administración Fiscal,5067.39001515,5221.88630609,3906.23536299,2025,2025-05,True,8714.4871,7138.82076281,7356.47153101,5503.01319424
5,1,ADMINISTRACION GUBERNAMENTAL,7,Control de la Gestión Pública,7286.79118844,7267.44780269,7711.68705052,2025,2025-05,True,8714.4871,10265.46132719,10238.21081689,10864.04469914
5,1,ADMINISTRACION GUBERNAMENTAL,8,Información y Estadística Básicas,347.88255255,2757.99756388,2824.91564486,2025,2025-05,True,8714.4871,490.08881924,3885.40258673,3979.67521711
5,2,SERVICIOS DE DEFENSA Y SEGURIDAD,1,Defensa,141410.31448367,164903.27382896,172131.52289275,2025,2025-05,True,8714.4871,199215.55003535,232311.8827535,242494.87130206
5,2,SERVICIOS DE DEFENSA Y SEGURIDAD,2,Seguridad Interior,39647.56705969,223323.33464986,222948.86019955,2025,2025-05,True,8714.4871,55854.56696139,314612.70071029,314085.14984624
