province,source,year,period_type,period,tax,value_millions
Misiones,top_trim_2025_3.xlsx,2025,trim,2025-Q2_YTD,Ingresos Brutos,462769.67212159
Misiones,top_trim_2025_3.xlsx,2025,trim,2025-Q2_YTD,Inmobiliario,12163.95887434
Misiones,top_trim_2025_3.xlsx,2025,trim,2025-Q2_YTD,Otros,1660.9032117900003
Misiones,top_trim_2025_3.xlsx,2025,trim,2025-Q2_YTD,Sellos,27055.16039426
Misiones,top_trim_2025_3.xlsx,2025,trim,2025-Q2_YTD,Total,507824.66517302
Misiones,top_trim_2025_3.xlsx,2025,trim,2025-Q3_YTD,Automotores,5731.182460239999
Misiones,top_trim_2025_3.xlsx,2025,trim,2025-Q3_YTD,Ingresos Brutos,693890.5383538901
Misiones,top_trim_2025_3.xlsx,2025,trim,2025-Q3_YTD,Inmobiliario,15791.97257417
Misiones,top_trim_2025_3.xlsx,2025,trim,2025-Q3_YTD,Otros,2245.1276078900005
Misiones,top_trim_2025_3.xlsx,2025,trim,2025-Q3_YTD,Sellos,42287.39821492
Misiones,top_trim_2025_3.xlsx,2025,trim,2025-Q3_YTD,Total,759946.21921111
Neuquén,top_trim_2025_3.xlsx,2025,trim,2025-Q1,Automotores,0.0
Neuquén,top_trim_2025_3.xlsx,2025,trim,2025-Q1,Ingresos Brutos,326673.24720800004
Neuquén,top_trim_2025_3.xlsx,2025,trim,2025-Q1,Inmobiliario,13483.92070821
Neuquén,top_trim_2025_3.xlsx,2025,trim,2025-Q1,Otros,0.0
Neuquén,top_trim_2025_3.xlsx,2025,trim,2025-Q1,Sellos,23211.32634822
Neuquén,top_trim_2025_3.xlsx,2025,trim,2025-Q1,Total,363368.49426443
Neuquén,top_trim_2025_3.xlsx,2025,trim,2025-Q3_YTD,Automotores,0.0
Neuquén,top_trim_2025_3.xlsx,2025,trim,2025-Q3_YTD,Ingresos Brutos,1142692.7829645998
Neuquén,top_trim_2025_3.xlsx,2025,trim,2025-Q3_YTD,Inmobiliario,30313.70255841
Neuquén,top_trim_2025_3.xlsx,2025,trim,2025-Q3_YTD,Otros,0.0
Neuquén,top_trim_2025_3.xlsx,2025,trim,2025-Q3_YTD,Sellos,88543.33884424
Neuquén,top_trim_2025_3.xlsx,2025,trim,2025-Q3_YTD,Total,1261549.8243672496
Río Negro,top_trim_2025_3.xlsx,2025,trim,2025-Q1,Automotores,27823.238433
Río Negro,top_trim_2025_3.xlsx,2025,trim,2025-Q1,Ingresos Brutos,110773.17559300002
Río Negro,top_trim_2025_3.xlsx,2025,trim,2025-Q1,Inmobiliario,16149.313171
Río Negro,top_trim_2025_3.xlsx,2025,trim,2025-Q1,Otros,6914.458753
Río Negro,top_trim_2025_3.xlsx,2025,trim,2025-Q1,Sellos,11718.805495
Río Negro,top_trim_2025_3.xlsx,2025,trim,2025-Q1,Total,173378.99144500002
Río Negro,top_trim_2025_3.xlsx,2025,trim,2025-Q2_YTD,Automotores,38264.64174
Río Negro,top_trim_2025_3.xlsx,2025,trim,2025-Q2_YTD,Ingresos Brutos,234077.10616
Río Negro,top_trim_2025_3.xlsx,2025,trim,2025-Q2_YTD,Inmobiliario,20051.174866
Río Negro,top_trim_2025_3.xlsx,2025,trim,2025-Q2_YTD,Otros,13798.308562000002
Río Negro,top_trim_2025_3.xlsx,2025,trim,2025-Q2_YTD,Sellos,25926.344819
Río Negro,top_trim_2025_3.xlsx,2025,trim,2025-Q2_YTD,Total,332117.576147
Río Negro,top_trim_2025_3.xlsx,2025,trim,2025-Q3_YTD,Automotores,49425.52
Río Negro,top_trim_2025_3.xlsx,2025,trim,2025-Q3_YTD,Ingresos Brutos,375902.20000000007
Río Negro,top_trim_2025_3.xlsx,2025,trim,2025-Q3_YTD,Inmobiliario,24194.200000000004
Río Negro,top_trim_2025_3.xlsx,2025,trim,2025-Q3_YTD,Otros,21611.53
Río Negro,top_trim_2025_3.xlsx,2025,trim,2025-Q3_YTD,Sellos,40528.66999999999
Río Negro,top_trim_2025_3.xlsx,2025,trim,2025-Q3_YTD,Total,511662.1200000001
Salta,top_trim_2025_3.xlsx,2025,trim,2025-Q1,Automotores,0.0
Salta,top_trim_2025_3.xlsx,2025,trim,2025-Q1,Ingresos Brutos,152380.6057104
Salta,top_trim_2025_3.xlsx,2025,trim,2025-Q1,Inmobiliario,161.87197412
Salta,top_trim_2025_3.xlsx,2025,trim,2025-Q1,Otros,855.3084009299998
Salta,top_trim_2025_3.xlsx,2025,trim,2025-Q1,Sellos,16302.16349744
Salta,top_trim_2025_3.xlsx,2025,trim,2025-Q1,Total,169699.94958289
Salta,top_trim_2025_3.xlsx,2025,trim,2025-Q2_YTD,Automotores,0.0
Salta,top_trim_2025_3.xlsx,2025,trim,2025-Q2_YTD,Ingresos Brutos,312934.78425823
Salta,top_trim_2025_3.xlsx,2025,trim,2025-Q2_YTD,Inmobiliario,395.82776232
Salta,top_trim_2025_3.xlsx,2025,trim,2025-Q2_YTD,Otros,1591.42408487
Salta,top_trim_2025_3.xlsx,2025,trim,2025-Q2_YTD,Sellos,34514.02011848
Salta,top_trim_2025_3.xlsx,2025,trim,2025-Q2_YTD,Total,349436.05622390006
Salta,top_trim_2025_3.xlsx,2025,trim,2025-Q3_YTD,Automotores,0.0
